station,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
86950,2023-07-19,8.0,4.4,78.0,0.0,,147.0,20.5,,1028.3,,1.0
86951,2023-07-19,9.7,4.9,72.0,0.0,,159.0,11.5,,1027.4,,1.0
86952,2023-07-19,7.7,5.3,85.0,0.0,,148.0,10.1,,1028.6,,1.0
86953,2023-07-19,6.1,3.8,85.0,0.0,,135.0,4.7,,1028.8,,1.0
86954,2023-07-19,8.2,4.8,79.0,0.0,,116.0,5.8,,1027.9,,1.0
86955,2023-07-19,11.1,10.8,98.0,0.1,,48.0,5.0,,1026.3,,7.0
86956,2023-07-19,7.6,6.4,92.0,0.0,,71.0,20.9,,1029.2,,3.0
86957,2023-07-19,8.2,6.3,88.0,0.0,,45.0,0.7,,1030.6,,3.0
86958,2023-07-19,12.9,9.0,77.0,0.0,,223.0,19.4,,1030.3,,3.0
86960,2023-07-19,8.5,3.9,73.0,0.0,,148.0,18.4,,1029.7,,1.0
86961,2023-07-19,6.7,3.5,80.0,0.0,,118.0,10.8,,1029.1,,1.0
86962,2023-07-19,6.0,3.0,81.0,0.0,,341.0,21.2,,1029.9,,1.0
86963,2023-07-19,6.1,3.9,86.0,0.0,,145.0,22.3,,1029.7,,1.0
86964,2023-07-19,4.7,3.4,91.0,0.0,,125.0,27.7,,1031.1,,1.0
86965,2023-07-19,6.2,3.9,85.0,0.0,,178.0,21.6,,1029.3,,1.0
86966,2023-07-19,5.5,4.3,92.0,0.0,,98.0,13.7,,1030.3,,3.0
86967,2023-07-19,2.2,1.9,95.0,0.0,,98.0,24.8,,1032.4,,5.0
86968,2023-07-19,3.5,-0.3,97.0,0.0,,344.0,25.6,,1032.1,,5.0
86969,2023-07-19,3.2,3.1,99.0,0.0,,134.0,2.9,,1030.5,,3.0
86970,2023-07-19,11.2,9.5,89.0,0.0,,137.0,1.1,,1031.5,,3.0
86971,2023-07-19,12.1,8.4,78.0,0.0,,281.0,16.6,,1031.4,,3.0
86972,2023-07-19,12.1,8.0,76.0,0.0,,270.0,17.6,,1030.9,,3.0
86973,2023-07-19,7.7,2.8,71.0,0.0,,130.0,11.9,,1031.2,,1.0
86975,2023-07-19,5.1,3.4,89.0,0.0,,166.0,2.9,,1031.0,,1.0
86976,2023-07-19,6.6,2.7,76.0,0.0,,137.0,9.4,,1030.6,,1.0
86977,2023-07-19,7.1,4.9,86.0,0.0,,106.0,13.7,,1031.4,,1.0
86978,2023-07-19,6.7,3.7,81.0,0.0,,113.0,7.9,,1032.1,,2.0
86979,2023-07-19,5.5,3.7,88.0,0.0,,135.0,16.6,,1031.5,,1.0
86980,2023-07-19,4.2,3.9,98.0,0.0,,92.0,9.4,,1032.0,,2.0
86981,2023-07-19,11.6,6.3,70.0,0.0,,226.0,8.3,,1031.3,,3.0
86982,2023-07-19,4.2,1.6,83.0,0.0,,102.0,7.6,,1031.9,,1.0
86983,2023-07-19,3.7,1.6,86.0,0.0,,0.0,0.0,,1032.5,,1.0
86984,2023-07-19,7.0,2.7,74.0,0.0,,132.0,13.7,,1031.9,,1.0
86985,2023-07-19,4.2,1.7,84.0,0.0,,89.0,13.0,,1032.7,,1.0
86986,2023-07-19,5.7,2.3,79.0,0.0,,140.0,9.7,,1032.5,,1.0
86988,2023-07-19,10.9,6.4,74.0,0.0,,159.0,13.7,,1031.9,,3.0
86989,2023-07-19,5.0,5.0,100.0,0.0,,0.0,0.0,,1032.5,,1.0
86990,2023-07-19,9.1,5.8,80.0,0.0,,254.0,5.0,,1031.7,,3.0
86992,2023-07-19,4.0,2.0,87.0,0.0,,117.0,9.0,,1033.1,,1.0
86993,2023-07-19,4.5,4.5,100.0,0.0,,140.0,14.4,,1033.2,,2.0
86994,2023-07-19,11.0,4.2,63.0,0.0,,185.0,28.8,,1032.3,,3.0
86995,2023-07-19,10.7,5.4,70.0,0.0,,184.0,21.2,,1032.6,,3.0
86996,2023-07-19,6.1,4.7,91.0,0.0,,0.0,0.0,,1033.2,,2.0
86998,2023-07-19,7.2,3.1,75.0,0.0,,224.0,21.6,,1033.2,,2.0
869NV,2023-07-19,20.2,6.2,40.0,0.0,,311.0,26.3,,1014.6,,3.0
86UJA,2023-07-19,22.9,16.4,67.0,0.0,,296.0,5.4,,1012.0,,2.0
86WK3,2023-07-19,17.4,9.1,58.0,0.0,,282.0,8.3,,1013.8,,3.0
87007,2023-07-19,8.2,-16.2,16.0,0.0,,0.0,0.0,,1017.3,,1.0
87016,2023-07-19,12.6,10.0,84.0,0.0,,0.0,0.0,,1026.8,,3.0
87022,2023-07-19,11.6,8.4,81.0,0.0,,270.0,3.6,,1027.6,,3.0
87046,2023-07-19,9.5,6.8,83.0,0.0,,320.0,3.6,,1028.0,,4.0
87047,2023-07-19,6.7,4.4,85.0,0.0,,50.0,7.6,,1027.0,,3.0
87065,2023-07-19,13.2,6.5,64.0,0.0,,0.0,0.0,,1027.2,,3.0
87078,2023-07-19,12.0,3.5,56.0,0.0,,180.0,5.4,,1027.6,,1.0
87097,2023-07-19,13.6,11.6,88.0,0.0,,270.0,11.2,,1025.1,,2.0
87121,2023-07-19,9.0,8.2,95.0,0.0,,0.0,0.0,,1028.8,,3.0
87129,2023-07-19,11.6,7.1,74.0,0.0,,50.0,5.4,,1028.9,,3.0
87148,2023-07-19,6.6,1.7,71.0,0.0,,140.0,1.8,,1029.0,,1.0
87149,2023-07-19,9.5,0.9,55.0,0.0,,138.0,12.6,,1029.0,,1.0
87155,2023-07-19,8.6,2.2,64.0,0.0,,160.0,13.0,,1028.4,,1.0
87162,2023-07-19,7.2,4.2,81.0,0.0,,0.0,0.0,,1027.9,,1.0
87163,2023-07-19,10.6,9.7,94.0,0.0,,180.0,3.6,,1025.7,,3.0
87166,2023-07-19,8.2,0.4,58.0,0.0,,160.0,13.0,,1028.5,,1.0
87178,2023-07-19,10.5,3.8,63.0,0.0,,160.0,9.4,,1027.6,,1.0
87211,2023-07-19,8.8,2.4,64.0,0.0,,200.0,9.4,,1022.8,,3.0
87213,2023-07-19,5.6,3.3,85.0,0.0,,192.0,9.0,,1025.5,,2.0
87217,2023-07-19,10.1,6.6,79.0,0.0,,180.0,9.4,,1025.3,,3.0
87222,2023-07-19,10.6,3.6,62.0,0.0,,40.0,27.7,,1024.9,,2.0
87244,2023-07-19,5.6,-0.3,66.0,0.0,,0.0,0.0,,1029.5,,1.0
87257,2023-07-19,8.7,2.5,65.0,0.0,,140.0,9.4,,1029.6,,1.0
87270,2023-07-19,8.8,3.0,67.0,0.0,,118.0,11.2,,1030.5,,1.0
87289,2023-07-19,8.8,3.0,67.0,0.0,,140.0,20.5,,1031.2,,1.0
87305,2023-07-19,8.2,0.4,58.0,0.0,,231.0,6.1,,1023.1,,3.0
87311,2023-07-19,7.4,-0.1,59.0,0.0,,250.0,5.4,,1026.3,,3.0
87320,2023-07-19,9.4,4.2,70.0,0.0,,119.0,18.0,,1027.7,,3.0
87322,2023-07-19,8.6,-3.6,42.0,0.0,,50.0,9.4,,1026.1,,3.0
87328,2023-07-19,7.0,1.9,70.0,0.0,,90.0,3.6,,1028.9,,1.0
87344,2023-07-19,5.7,0.3,68.0,0.0,,360.0,16.6,,1030.5,,2.0
87345,2023-07-19,7.8,2.7,70.0,0.0,,26.0,18.0,,1028.9,,3.0
87347,2023-07-19,8.2,6.2,87.0,0.0,,50.0,11.2,,1030.0,,3.0
87349,2023-07-19,6.1,2.0,75.0,0.0,,360.0,5.4,,1030.8,,3.0
87371,2023-07-19,7.9,4.3,78.0,0.0,,110.0,7.6,,1031.2,,1.0
87374,2023-07-19,6.5,1.6,71.0,0.0,,50.0,7.6,,1031.6,,1.0
87393,2023-07-19,8.6,3.0,68.0,0.0,,160.0,11.2,,1031.2,,1.0
87395,2023-07-19,7.8,3.1,72.0,0.0,,160.0,7.6,,1032.2,,1.0
87405,2023-07-19,6.4,-5.3,43.0,0.0,,0.0,0.0,,1019.0,,3.0
87412,2023-07-19,3.7,-1.3,70.0,0.0,,13.0,10.1,,1024.5,,3.0
87416,2023-07-19,6.6,1.3,69.0,0.0,,0.0,0.0,,1025.2,,3.0
87418,2023-07-19,7.3,-0.2,59.0,0.0,,270.0,3.6,,1025.9,,2.0
87420,2023-07-19,7.9,0.1,58.0,0.0,,21.0,9.0,,1023.8,,3.0
87436,2023-07-19,8.3,1.4,62.0,0.0,,360.0,9.4,,1026.3,,3.0
87448,2023-07-19,8.4,2.0,64.0,0.0,,360.0,11.2,,1027.6,,3.0
87453,2023-07-19,8.0,0.5,59.0,0.0,,360.0,18.4,,1028.4,,3.0
87467,2023-07-19,4.8,1.3,78.0,0.0,,50.0,14.8,,1031.1,,1.0
87480,2023-07-19,7.5,1.1,64.0,0.0,,70.0,5.4,,1031.6,,1.0
87497,2023-07-19,7.1,1.8,69.0,0.0,,50.0,9.4,,1032.0,,1.0
87506,2023-07-19,5.0,-3.8,53.0,0.0,,250.0,5.4,,1018.5,,3.0
87509,2023-07-19,7.8,-2.0,50.0,0.0,,360.0,18.4,,1025.0,,2.0
87532,2023-07-19,9.0,0.9,57.0,0.0,,360.0,24.1,,1027.8,,3.0
87534,2023-07-19,6.6,0.5,65.0,0.0,,20.0,9.4,,1028.8,,3.0
87544,2023-07-19,6.4,-2.0,55.0,0.0,,50.0,20.5,,1030.5,,3.0
87548,2023-07-19,5.2,-1.3,63.0,0.0,,50.0,9.4,,1030.3,,3.0
87550,2023-07-19,4.9,-0.3,69.0,0.0,,43.0,14.8,,1031.2,,2.0
87553,2023-07-19,5.5,0.9,72.0,0.0,,50.0,5.4,,1032.9,,1.0
87563,2023-07-19,3.9,-4.1,56.0,0.0,,50.0,3.6,,1029.9,,1.0
87571,2023-07-19,3.1,1.6,90.0,0.0,,70.0,5.4,,1032.8,,1.0
87572,2023-07-19,4.9,2.6,85.0,0.0,,63.0,9.0,,1033.0,,1.0
87574,2023-07-19,4.3,2.3,87.0,0.0,,48.0,9.7,,1033.1,,1.0
87576,2023-07-19,6.1,1.6,73.0,0.0,,80.0,11.2,,1033.0,,2.0
87582,2023-07-19,8.6,1.3,60.0,0.0,,90.0,13.0,,1033.1,,1.0
87585,2023-07-19,7.6,1.9,67.0,0.0,,90.0,3.6,,1033.0,,2.0
87593,2023-07-19,3.0,1.7,91.0,0.0,,50.0,3.6,,1034.0,,1.0
87596,2023-07-19,2.6,0.7,87.0,0.0,,35.0,9.7,,1033.7,,3.0
87623,2023-07-19,6.9,1.8,70.0,0.0,,360.0,20.5,,1027.3,,3.0
87637,2023-07-19,2.9,-1.3,74.0,0.0,,28.0,16.6,,1029.9,,1.0
87639,2023-07-19,4.6,-0.6,69.0,0.0,,43.0,15.1,,1030.9,,3.0
87640,2023-07-19,4.6,-0.6,69.0,0.0,,0.0,0.0,,1031.7,,2.0
87641,2023-07-19,4.0,-1.8,66.0,0.0,,360.0,7.6,,1033.4,,3.0
87642,2023-07-19,2.1,-0.7,82.0,0.0,,39.0,11.5,,1032.0,,3.0
87643,2023-07-19,2.3,-1.0,79.0,0.0,,38.0,14.0,,1031.7,,3.0
87645,2023-07-19,0.6,-3.3,75.0,0.0,,50.0,3.6,,1033.3,,2.0
87648,2023-07-19,4.6,2.5,86.0,0.0,,20.0,7.6,,1033.1,,3.0
87663,2023-07-19,2.4,1.2,92.0,0.0,,18.0,9.0,,1033.3,,1.0
87679,2023-07-19,3.0,-2.7,66.0,0.0,,360.0,14.8,,1029.5,,3.0
87688,2023-07-19,2.5,-1.1,77.0,0.0,,360.0,11.2,,1030.3,,3.0
87692,2023-07-19,2.8,2.4,97.0,0.0,,0.0,0.0,,1032.8,,5.0
87715,2023-07-19,4.6,0.5,75.0,0.0,,0.0,0.0,,1022.6,,3.0
87736,2023-07-19,8.8,3.2,68.0,0.0,,9.0,22.7,,1024.3,,3.0
87750,2023-07-19,4.2,-1.8,65.0,0.0,,20.0,18.4,,1027.7,,2.0
87761,2023-07-19,0.0,0.0,100.0,0.7,,50.0,9.4,,1018.2,,12.0
87765,2023-07-19,0.8,-0.8,89.0,1.3,,180.0,9.4,,1014.0,,14.0
