,station,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,id,latitude,longitude
131,01419,2023-07-19,8.1,7.5,96.0,0.0,,290.0,9.4,20.5,1011.4,,3.0,01419,59.0508,6.1211
132,01422,2023-07-19,9.8,7.0,83.0,0.0,,277.0,11.2,23.4,1011.0,,3.0,01422,59.1597,6.0364
133,01424,2023-07-19,10.4,9.3,93.0,0.0,,55.0,2.5,5.8,1010.8,,3.0,01424,59.65,6.3667
134,01427,2023-07-19,12.9,8.8,76.0,0.0,,310.0,28.4,42.5,1011.8,,3.0,01427,58.1167,6.5667
135,01430,2023-07-19,11.9,8.7,81.0,0.0,,293.0,10.8,22.0,1011.3,,3.0,01430,58.0244,7.4517
136,01431,2023-07-19,7.7,5.7,87.0,0.0,,318.0,11.2,25.9,1011.3,,3.0,01431,58.9228,6.9094
137,01436,2023-07-19,12.7,8.8,77.0,0.0,,286.0,38.5,34.9,1011.6,,3.0,01436,57.9833,7.05
138,01444,2023-07-19,10.8,7.3,79.0,0.0,,72.0,1.4,5.0,1010.1,,3.0,01444,59.2017,7.5328
139,01447,2023-07-19,5.2,3.5,89.0,0.0,,323.0,5.0,24.8,1009.8,,3.0,01447,59.4969,8.1992
140,01448,2023-07-19,12.0,8.3,78.0,0.0,,273.0,20.5,32.8,1010.9,,3.0,01448,58.0667,8.05
141,01449,2023-07-19,10.2,3.2,62.0,0.0,,299.0,8.6,21.2,1008.3,,1.0,01449,58.87,9.0264
142,01450,2023-07-19,5.3,1.6,77.0,0.0,,306.0,17.3,30.2,1009.3,,3.0,01450,59.8333,8.1833
143,01452,2023-07-19,12.0,7.1,72.0,0.0,,250.0,16.6,28.0,1010.6,,2.0,01452,58.2,8.0833
144,01455,2023-07-19,10.9,5.0,67.0,0.0,,341.0,13.7,31.3,1008.9,,1.0,01455,59.0333,8.5167
145,01459,2023-07-19,10.3,5.3,71.0,0.0,,280.0,10.8,26.3,1009.3,,2.0,01459,58.65,8.6333
146,01463,2023-07-19,11.9,3.4,56.0,0.0,,307.0,11.2,21.6,1006.0,,2.0,01463,59.6606,10.7819
147,01464,2023-07-19,11.0,6.3,73.0,0.0,,272.0,9.7,22.0,1009.8,,2.0,01464,58.34,8.5225
148,01465,2023-07-19,12.9,7.1,68.0,0.0,,269.0,21.2,27.4,1009.4,,3.0,01465,58.4,8.8
149,01466,2023-07-19,12.4,5.6,63.0,0.0,,252.0,7.6,13.7,1005.6,,1.0,01466,59.9708,11.0383
150,01467,2023-07-19,12.1,7.2,72.0,0.0,,247.0,16.2,24.5,1008.7,,2.0,01467,58.6333,9.15
151,01468,2023-07-19,10.3,6.3,76.0,0.0,,284.0,6.1,12.2,1004.9,,2.0,01468,60.1903,12.0067
152,01469,2023-07-19,12.0,5.4,64.0,0.0,,284.0,3.6,6.8,1006.6,,1.0,01469,60.1664,10.2478
153,01471,2023-07-19,10.3,3.8,64.0,0.0,,264.0,3.2,9.7,1008.0,,2.0,01471,60.0433,9.1467
154,01473,2023-07-19,8.9,1.8,61.0,0.0,,268.0,2.5,8.3,1007.4,,3.0,01473,59.6244,9.6375
155,01475,2023-07-19,11.5,4.7,63.0,,,313.0,11.1,20.4,1008.1,,2.0,01475,59.1833,9.5667
156,01478,2023-07-19,14.6,5.9,56.0,0.0,,292.0,22.7,32.4,1007.0,,3.0,01478,58.9686,10.1478
157,01480,2023-07-19,12.9,4.6,57.0,0.0,,295.0,13.3,24.1,1006.7,,1.0,01480,59.7536,10.1236
158,01481,2023-07-19,12.2,6.0,66.0,0.0,,279.0,3.7,11.1,1006.8,,2.0,01481,59.2297,10.3481
159,01482,2023-07-19,15.0,6.5,57.0,0.0,,293.0,25.2,36.0,1006.6,,3.0,01482,59.0333,10.5333
160,01484,2023-07-19,10.0,6.5,79.0,0.0,,310.0,4.3,8.6,1005.5,,2.0,01484,59.9119,11.58
161,01486,2023-07-19,11.6,3.6,58.0,0.0,,309.0,15.8,36.4,1006.0,,1.0,01486,59.8558,10.4344
162,01490,2023-07-19,9.7,2.3,60.0,0.0,,327.0,14.4,35.6,1005.7,,2.0,01490,59.9833,10.6833
163,01492,2023-07-19,13.5,5.4,58.0,0.0,,286.0,9.7,22.0,1005.5,,2.0,01492,59.95,10.7167
164,01493,2023-07-19,14.4,8.1,66.0,0.0,,252.0,7.4,13.0,1006.3,,2.0,01493,59.2856,11.1147
165,01495,2023-07-19,15.6,7.4,58.0,0.0,,306.0,21.2,32.4,1006.2,,3.0,01495,59.15,10.8333
166,02000,2023-07-19,14.4,11.4,82.0,0.0,,256.0,7.9,17.6,1012.1,,3.0,02000,56.08,13.2
167,02044,2023-07-19,10.5,7.6,82.0,0.0,,350.0,10.8,27.0,1001.1,,3.0,02044,67.8167,20.3333
168,02049,2023-07-19,12.0,8.7,80.0,0.0,,344.0,10.8,18.5,1000.3,,7.0,02049,67.15,20.65
169,02080,2023-07-19,11.1,8.1,82.0,0.0,,349.0,14.8,30.2,1000.9,,3.0,02080,68.45,22.5
170,02086,2023-07-19,12.5,11.1,91.0,,,19.0,11.1,18.5,999.4,,18.0,02086,67.7667,22.35
171,02096,2023-07-19,12.8,12.8,100.0,,,309.0,9.3,14.8,998.4,,18.0,02096,67.2167,23.4
172,02120,2023-07-19,12.1,8.6,79.0,0.0,,291.0,16.7,27.8,1002.6,,3.0,02120,66.95,17.75
173,02128,2023-07-19,12.8,8.5,75.0,,,286.0,18.5,24.1,1002.7,,2.0,02128,64.9667,17.7
174,02154,2023-07-19,12.5,12.0,97.0,0.5,,310.0,10.8,23.8,1000.5,,8.0,02154,65.8667,20.1333
175,02186,2023-07-19,13.7,12.8,94.0,0.0,,310.0,18.0,25.0,998.3,,7.0,02186,65.55,22.1333
176,02196,2023-07-19,12.9,12.9,100.0,0.0,,165.0,7.4,14.8,997.6,,7.0,02196,65.8333,24.15
177,02197,2023-07-19,15.2,13.6,90.0,0.0,,20.0,10.4,18.0,996.9,,3.0,02197,65.8236,24.1114
178,02226,2023-07-19,9.7,-4.7,36.0,0.0,,310.0,14.0,20.4,1005.6,,3.0,02226,63.1833,14.5
179,02259,2023-07-19,12.0,10.1,88.0,0.0,,300.0,3.6,8.6,1003.0,,1.0,02259,63.05,17.7667
180,02267,2023-07-19,11.7,8.4,80.0,0.0,,310.0,14.4,22.2,1002.0,,2.0,02267,63.4,18.9667
181,02284,2023-07-19,14.4,9.2,71.0,,,305.0,11.1,20.4,1001.3,,1.0,02284,63.4333,19.6833
182,02286,2023-07-19,11.1,7.6,79.0,0.0,,300.0,10.8,20.4,1000.8,,3.0,02286,63.8,20.2833
183,02287,2023-07-19,15.1,9.7,70.0,0.0,,294.0,23.4,35.6,999.9,,3.0,02287,63.8069,20.8644
184,02293,2023-07-19,13.2,10.2,82.0,0.0,,270.0,10.8,27.8,999.9,,3.0,02293,64.6333,21.0833
185,02324,2023-07-19,10.8,9.6,92.0,,,307.0,7.4,13.0,1005.1,,3.0,02324,62.0333,14.3667
186,02355,2023-07-19,14.9,10.1,73.0,0.0,,294.0,8.0,15.0,1003.5,,4.0,02355,61.7,17.5333
187,02366,2023-07-19,12.0,8.5,79.0,0.0,,300.0,10.8,13.0,1003.6,,2.0,02366,62.5333,17.45
188,02378,2023-07-19,13.0,9.4,79.0,,,261.0,5.5,11.1,1004.3,,2.0,02378,61.4486,17.1639
189,02404,2023-07-19,9.1,9.0,99.0,0.0,,0.0,0.0,14.8,1005.6,,2.0,02404,59.6667,12.5833
190,02416,2023-07-19,10.2,9.6,96.0,0.0,,200.0,7.2,29.2,1005.8,,3.0,02416,59.36,13.47
191,02418,2023-07-19,10.2,9.6,96.0,0.0,,200.0,7.0,20.4,1005.8,,2.0,02418,59.3667,13.4667
192,02433,2023-07-19,10.7,9.3,91.0,0.0,,30.0,3.6,9.4,1004.6,,3.0,02433,60.6167,15.6667
193,02435,2023-07-19,10.5,9.4,93.0,0.0,,210.0,10.8,11.1,1005.0,,2.0,02435,60.4333,15.5167
194,02443,2023-07-19,13.2,12.3,94.0,0.0,,246.0,2.2,11.5,1004.3,,3.0,02443,60.6,16.95
195,02446,2023-07-19,14.0,10.0,77.0,0.0,,230.0,11.2,27.0,1005.0,,3.0,02446,59.5833,16.6333
196,02458,2023-07-19,11.2,10.7,97.0,0.0,,0.0,0.0,14.8,1005.2,,2.0,02458,59.8833,17.6
197,02460,2023-07-19,10.7,9.0,89.0,0.0,,240.0,3.6,13.0,1005.3,,2.0,02460,59.65,17.95
198,02464,2023-07-19,13.7,8.7,72.0,0.0,,250.0,7.2,18.5,1005.9,,2.0,02464,59.35,17.95
199,02468,2023-07-19,10.1,8.5,90.0,0.0,,225.0,7.9,20.9,1004.7,,3.0,02468,60.3822,15.1406
200,02469,2023-07-19,10.4,9.5,94.0,0.0,,245.0,3.0,10.0,1006.4,,2.0,02469,59.1789,17.9128
201,02476,2023-07-19,11.2,7.3,77.0,,,245.0,7.4,14.8,1006.8,,1.0,02476,59.05,16.4
202,02481,2023-07-19,11.6,9.7,88.0,,,219.0,5.5,14.8,1005.4,,1.0,02481,59.9097,16.6878
203,02485,2023-07-19,13.3,9.2,76.0,0.0,,256.0,9.7,22.7,1005.2,,2.0,02485,59.5667,18.1
204,02490,2023-07-19,11.4,10.9,97.0,,,244.0,3.7,11.1,1005.1,,3.0,02490,59.8322,18.6347
205,02493,2023-07-19,14.7,12.6,87.0,,,273.0,18.5,24.1,1005.1,,2.0,02493,59.7536,19.4089
206,02500,2023-07-19,15.4,7.9,61.0,0.0,,267.0,26.0,41.0,1006.6,,1.0,02500,58.9,11.0
207,02505,2023-07-19,14.7,11.1,79.0,,,269.0,42.6,55.5,1008.5,,1.0,02505,58.1,11.3333
208,02512,2023-07-19,14.0,9.0,72.0,0.0,,260.0,18.4,46.3,1009.0,,2.0,02512,57.7833,11.8833
209,02513,2023-07-19,14.6,9.6,72.0,0.0,,253.0,14.0,29.0,1009.8,,3.0,02513,57.7,12.0
210,02520,2023-07-19,12.0,11.1,94.0,0.0,,210.0,18.0,29.0,1007.7,,1.0,02520,58.4333,12.7
211,02526,2023-07-19,12.0,9.0,82.0,0.0,,250.0,14.4,36.4,1009.7,,3.0,02526,57.6667,12.3
212,02527,2023-07-19,11.9,8.4,79.0,,,217.0,11.1,20.4,1009.8,,3.0,02527,57.6667,12.3
213,02535,2023-07-19,11.9,8.7,81.0,0.0,,219.0,14.8,33.5,1007.2,,2.0,02535,58.45,13.9667
214,02542,2023-07-19,11.3,9.2,87.0,,,206.0,13.0,24.1,1008.0,,1.0,02542,58.3222,13.0406
215,02550,2023-07-19,10.7,9.5,92.0,0.0,,230.0,18.0,24.1,1009.2,,2.0,02550,57.7667,14.0833
216,02556,2023-07-19,9.5,8.3,92.0,0.0,,210.0,10.8,27.4,1010.7,,3.0,02556,57.3,14.1333
