,station,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,id,latitude,longitude
49,01152,2023-07-19,11.5,11.3,99.0,0.0,0.0,241.0,14.4,21.0,1004.6,,3.0,01152,67.2667,14.3667
50,01156,2023-07-19,12.6,11.8,95.0,0.0,,51.0,2.9,5.0,1003.5,,3.0,01156,68.6067,14.4331
51,01158,2023-07-19,12.0,10.7,92.0,0.0,,37.0,1.8,7.6,1004.2,,3.0,01158,67.1656,15.4856
52,01160,2023-07-19,12.7,9.2,79.0,0.0,,212.0,6.5,10.1,1003.4,,3.0,01160,68.15,14.65
53,01161,2023-07-19,11.2,9.5,89.0,0.0,,23.0,6.1,9.0,1003.4,,3.0,01161,68.25,14.6667
54,01162,2023-07-19,10.0,9.1,94.0,0.0,,10.0,7.6,5.0,1004.0,,3.0,01162,68.5833,15.0167
55,01180,2023-07-19,11.8,10.0,89.0,0.0,,288.0,4.0,12.0,1003.6,,4.0,01180,68.8025,16.5372
56,01192,2023-07-19,10.2,9.6,96.0,0.0,,287.0,1.8,4.3,1003.7,,3.0,01192,68.4319,17.6622
57,01194,2023-07-19,11.1,9.7,91.0,,,61.0,7.4,14.8,1003.7,,7.0,01194,68.4667,17.5
58,01198,2023-07-19,10.7,9.0,89.0,0.0,,320.0,7.9,20.5,1002.9,,3.0,01198,68.7817,19.7017
59,01199,2023-07-19,10.6,9.0,90.0,0.0,,352.0,17.3,27.0,1000.5,,3.0,01199,68.75,23.5333
60,01205,2023-07-19,10.5,7.4,81.0,1.5,,239.0,44.6,63.0,1003.3,,9.0,01205,62.3333,5.2667
61,01210,2023-07-19,12.0,8.1,77.0,1.4,,210.0,33.5,51.0,1004.0,,7.0,01210,62.5667,6.1167
62,01212,2023-07-19,11.5,9.4,87.0,1.0,,208.0,40.3,64.8,1002.6,,9.0,01212,62.8667,6.5333
63,01217,2023-07-19,12.0,7.1,72.0,0.0,,260.0,16.6,27.0,1003.0,,3.0,01217,62.75,7.2667
64,01218,2023-07-19,12.3,8.4,77.0,0.0,,125.0,0.7,8.6,1005.9,,3.0,01218,62.2333,7.4167
65,01228,2023-07-19,11.6,7.9,78.0,0.1,,196.0,38.2,55.1,1002.4,,7.0,01228,63.85,8.4667
66,01230,2023-07-19,7.1,1.4,67.0,0.0,,122.0,1.4,7.2,1005.8,,3.0,01230,62.2581,8.1997
67,01233,2023-07-19,5.8,1.7,75.0,0.0,,128.0,2.9,4.7,1006.7,,3.0,01233,62.0719,9.1161
68,01234,2023-07-19,10.0,7.6,85.0,0.0,,283.0,3.2,9.4,1004.6,,2.0,01234,63.3153,9.8494
69,01238,2023-07-19,3.7,1.1,77.0,0.0,,192.0,12.6,20.0,1006.6,,2.0,01238,62.1167,9.2833
70,01239,2023-07-19,4.2,2.1,86.0,0.0,,240.0,11.9,26.3,1006.7,,2.0,01239,62.2206,9.5422
71,01240,2023-07-19,12.3,7.8,74.0,0.0,,195.0,37.4,47.2,1003.0,,3.0,01240,64.1667,9.4167
72,01241,2023-07-19,9.5,7.9,90.0,0.0,0.0,141.0,8.3,14.0,1004.3,,17.0,01241,63.7,9.6
73,01242,2023-07-19,11.0,7.7,80.0,0.0,,164.0,8.6,18.4,1004.1,,3.0,01242,63.9658,10.2156
74,01250,2023-07-19,4.4,0.9,78.0,0.0,,284.0,2.2,6.1,1006.4,,2.0,01250,62.1281,9.9947
75,01253,2023-07-19,5.8,5.2,96.0,0.0,,187.0,4.7,10.4,1005.3,,2.0,01253,62.9533,10.1786
76,01254,2023-07-19,9.3,8.7,96.0,0.0,,84.0,1.8,8.6,1005.4,,3.0,01254,62.9761,10.5606
77,01257,2023-07-19,10.2,6.9,80.0,0.0,,171.0,7.2,13.0,1004.6,,3.0,01257,63.4106,10.4539
78,01259,2023-07-19,11.7,7.8,77.0,0.0,,157.0,23.8,32.8,1003.5,,3.0,01259,64.4,10.45
79,01270,2023-07-19,9.9,8.0,88.0,0.0,,62.0,7.9,13.3,1004.7,,3.0,01270,63.4881,10.8794
80,01271,2023-07-19,11.0,9.1,88.0,0.0,,100.0,9.4,13.0,1005.4,,2.0,01271,63.4667,10.9333
81,01272,2023-07-19,10.2,7.4,83.0,0.0,,141.0,7.9,14.8,1004.5,,3.0,01272,63.5656,10.6939
82,01273,2023-07-19,9.4,8.2,92.0,0.0,,120.0,2.9,6.5,1005.1,,3.0,01273,63.2247,11.0075
83,01281,2023-07-19,7.5,7.1,97.0,0.0,,5.0,2.2,4.7,1005.3,,2.0,01281,64.7419,12.8458
84,01282,2023-07-19,11.0,9.1,88.0,0.0,,160.0,11.2,42.5,1004.0,,3.0,01282,64.8333,11.15
85,01287,2023-07-19,5.9,5.0,94.0,0.0,,97.0,2.9,8.3,1005.8,,3.0,01287,62.6797,11.8167
86,01289,2023-07-19,6.0,6.0,100.0,0.0,,295.0,3.6,6.5,1005.0,,3.0,01289,62.5833,11.35
87,01290,2023-07-19,11.0,8.0,82.0,0.0,,90.0,7.6,18.5,1004.0,,3.0,01290,64.4667,11.5833
88,01291,2023-07-19,7.9,7.8,99.0,0.0,,31.0,1.8,4.7,1005.1,,2.0,01291,64.5308,12.3836
89,01293,2023-07-19,9.5,6.9,84.0,0.0,,91.0,2.2,6.8,1005.3,,3.0,01293,63.4114,11.7275
90,01300,2023-07-19,10.2,7.4,83.0,0.4,,280.0,29.5,52.9,1006.7,,8.0,01300,61.2042,2.2686
91,01304,2023-07-19,11.7,8.9,83.0,1.4,,245.0,49.3,63.7,1005.4,,9.0,01304,61.5667,4.6833
92,01308,2023-07-19,9.7,8.6,93.0,2.4,,220.0,19.8,43.9,1006.5,,9.0,01308,61.2928,5.0444
93,01310,2023-07-19,11.0,9.1,88.0,1.5,,230.0,33.5,52.9,1006.0,,9.0,01310,61.5833,5.0333
94,01314,2023-07-19,11.6,10.7,94.0,0.3,,182.0,11.2,24.8,1009.2,,8.0,01314,60.5206,5.7247
95,01315,2023-07-19,9.6,8.0,90.0,0.3,,281.0,2.2,8.6,1009.0,,8.0,01315,60.6469,6.1106
96,01317,2023-07-19,11.4,8.6,83.0,0.1,,189.0,11.5,20.5,1009.1,,3.0,01317,60.3833,5.3333
97,01319,2023-07-19,10.9,8.8,87.0,1.6,,252.0,15.1,31.0,1007.4,,9.0,01319,61.0333,5.3833
98,01326,2023-07-19,8.8,8.2,96.0,0.9,,209.0,9.4,34.2,1008.5,,8.0,01326,60.8561,5.9731
99,01327,2023-07-19,6.5,5.8,95.0,0.2,,303.0,2.9,10.4,1009.6,,7.0,01327,60.3886,5.9639
100,01329,2023-07-19,11.0,8.2,83.0,0.2,,253.0,13.7,10.8,1010.7,,17.0,01329,60.3578,6.2747
101,01332,2023-07-19,9.3,7.9,91.0,0.1,,97.0,0.7,6.1,1008.3,,7.0,01332,61.4231,6.7642
102,01340,2023-07-19,5.3,5.2,99.0,0.0,,267.0,7.2,25.9,1010.0,,5.0,01340,60.4083,7.2797
103,01342,2023-07-19,10.2,7.4,83.0,0.3,,164.0,4.3,10.4,1009.8,,7.0,01342,60.3186,6.6539
104,01346,2023-07-19,2.7,1.8,94.0,0.1,,240.0,21.6,31.7,1009.9,,7.0,01346,60.6569,7.2769
